User ID,Customer type,Bundle,Start,End
1413995,SYI,Plus,2024-03-02,2099-12-31
1438432,SYI,Basis,2024-03-02,2024-04-05
1815813,SYI,Basis,2024-03-02,2099-12-31
1969371,SYI,Plus,2024-03-02,2024-05-22
2702502,SYI,Basis,2024-03-02,2024-04-26
3079958,SYI,Basis,2024-03-02,2024-04-17
3173772,SYI,Basis,2024-03-02,2024-04-03
3548418,SYI,Basis,2024-03-02,2024-04-11
3956488,SYI,Basis,2024-03-02,2099-12-31
4085826,SYI,Basis,2024-03-02,2099-12-31
4942912,SYI,Basis,2024-03-02,2099-12-31
5591580,SYI,Basis,2024-03-02,2099-12-31
5710429,SYI,Plus,2024-03-02,2099-12-31
6287546,SYI,Plus,2024-03-02,2024-04-04
6826817,SYI,Basis,2024-03-02,2024-05-10
7452596,SYI,Plus,2024-03-02,2024-03-07
7460400,SYI,Basis,2024-03-02,2024-06-04
7692693,SYI,Basis,2024-03-02,2099-12-31
7712687,SYI,Basis,2024-03-02,2024-05-22
7959529,SYI,Basis,2024-03-02,2024-04-13
8002874,SYI,Basis,2024-03-02,2024-09-06
8694289,Pro,Basis,2024-03-02,2025-01-08
8992947,Pro,Plus,2024-03-02,2024-04-26
1222597,SYI,Basis,2024-03-03,2024-05-07
1272903,SYI,Plus,2024-03-03,2099-12-31
1459884,SYI,Basis,2024-03-03,2024-04-18
1601502,SYI,Basis,2024-03-03,2099-12-31
1870597,SYI,Basis,2024-03-03,2024-06-11
2204419,SYI,Basis,2024-03-03,2024-03-09
2315205,SYI,Plus,2024-03-03,2099-12-31
2385632,SYI,Plus,2024-03-03,2024-05-18
2549301,Pro,Basis,2024-03-03,2024-07-17
2629637,SYI,Basis,2024-03-03,2099-12-31
2962740,Pro,Basis,2024-03-03,2099-12-31
3564704,SYI,Plus,2024-03-03,2024-04-07
3657591,SYI,Plus,2024-03-03,2024-03-12
4066560,SYI,Plus,2024-03-03,2024-08-03
4216935,SYI,Basis,2024-03-03,2024-03-05
4798490,SYI,Plus,2024-03-03,2099-12-31
5037380,SYI,Basis,2024-03-03,2024-04-19
5637704,SYI,Basis,2024-03-03,2024-04-15
5667986,Pro,Basis,2024-03-03,2024-04-24
5752407,Pro,Basis,2024-03-03,2024-03-19
5828089,Pro,Basis,2024-03-03,2024-06-26
6091080,Pro,Basis,2024-03-03,2024-07-05
6303699,Pro,Basis,2024-03-03,2024-05-05
6357827,Pro,Basis,2024-03-03,2024-09-01
6473240,Pro,Basis,2024-03-03,2099-12-31
6489334,SYI,Basis,2024-03-03,2024-05-01
7116850,SYI,Basis,2024-03-03,2099-12-31
7732893,SYI,Basis,2024-03-03,2099-12-31
8406584,Pro,Plus,2024-03-03,2099-12-31
8606227,SYI,Plus,2024-03-03,2024-04-11
8826415,Pro,Basis,2024-03-03,2099-12-31
1155345,SYI,Basis,2024-03-04,2024-06-17
1354002,SYI,Basis,2024-03-04,2024-04-27
1437400,Pro,Basis,2024-03-04,2024-04-20
1450764,SYI,Basis,2024-03-04,2024-04-17
1773163,SYI,Plus,2024-03-04,2024-04-05
1842891,SYI,Basis,2024-03-04,2024-10-03
2368860,SYI,Basis,2024-03-04,2024-12-08
2406379,SYI,Basis,2024-03-04,2024-04-07
3558713,SYI,Basis,2024-03-04,2099-12-31
3640226,Pro,Plus,2024-03-04,2024-05-25
3678030,SYI,Basis,2024-03-04,2024-04-20
4777545,SYI,Basis,2024-03-04,2024-03-25
5089533,SYI,Plus,2024-03-04,2024-05-28
5127495,SYI,Plus,2024-03-04,2024-03-30
5783421,SYI,Plus,2024-03-04,2024-03-17
6070621,SYI,Plus,2024-03-04,2024-03-05
6636517,SYI,Basis,2024-03-04,2024-03-13
6901661,SYI,Plus,2024-03-04,2024-05-05
6952006,SYI,Basis,2024-03-04,2024-04-01
8071850,SYI,Basis,2024-03-04,2024-08-30
8686940,SYI,Plus,2024-03-04,2099-12-31
8716484,SYI,Basis,2024-03-04,2024-05-03
8746422,SYI,Basis,2024-03-04,2024-04-03
8975033,SYI,Plus,2024-03-04,2024-09-21
8978392,SYI,No bundle,2024-03-04,2024-04-03
1154680,SYI,No bundle,2024-03-05,2024-06-30
1586339,SYI,Basis,2024-03-05,2024-04-03
1934033,SYI,Basis,2024-03-05,2024-05-13
1979089,SYI,Basis,2024-03-05,2099-12-31
3029016,SYI,Plus,2024-03-05,2024-03-23
3719373,SYI,Basis,2024-03-05,2024-03-18
4216935,SYI,No bundle,2024-03-05,2024-06-21
4615238,SYI,No bundle,2024-03-05,2099-12-31
4993965,SYI,Basis,2024-03-05,2024-08-08
5005568,SYI,Basis,2024-03-05,2099-12-31
5240713,SYI,Basis,2024-03-05,2024-03-18
5618018,SYI,Basis,2024-03-05,2024-05-24
5948021,SYI,Plus,2024-03-05,2099-12-31
6070621,SYI,Basis,2024-03-05,2024-05-15
6109388,Pro,Basis,2024-03-05,2024-04-10
6667200,SYI,Basis,2024-03-05,2024-05-06
6822475,SYI,Basis,2024-03-05,2024-03-08
6927712,SYI,Plus,2024-03-05,2024-04-10
7118432,SYI,Basis,2024-03-05,2024-03-19
7268010,SYI,Basis,2024-03-05,2024-03-18
7548593,Pro,Basis,2024-03-05,2024-04-14
7991418,SYI,Basis,2024-03-05,2099-12-31
8001161,SYI,Basis,2024-03-05,2099-12-31
8629484,SYI,Plus,2024-03-05,2099-12-31
8697692,Pro,Basis,2024-03-05,2099-12-31
8732069,SYI,Basis,2024-03-05,2024-04-14
8830299,SYI,Basis,2024-03-05,2024-05-03
8943082,SYI,Plus,2024-03-05,2025-03-22
1002663,SYI,Basis,2024-03-06,2099-12-31
1169240,Pro,Plus,2024-03-06,2024-05-14
1281934,Pro,Plus,2024-03-06,2099-12-31
1457734,SYI,Basis,2024-03-06,2024-04-07
1603472,Pro,Basis,2024-03-06,2099-12-31
1635461,SYI,Basis,2024-03-06,2024-03-07
2044475,SYI,Plus,2024-03-06,2024-04-03
2305405,SYI,Basis,2024-03-06,2099-12-31
2367845,SYI,Plus,2024-03-06,2099-12-31
2403618,SYI,Plus,2024-03-06,2024-04-14
2821480,SYI,Plus,2024-03-06,2024-04-04
2911381,SYI,Basis,2024-03-06,2099-12-31
3875612,SYI,Basis,2024-03-06,2024-03-10
3990376,SYI,Basis,2024-03-06,2024-03-23
4364641,SYI,Basis,2024-03-06,2025-01-07
4754115,Pro,Basis,2024-03-06,2099-12-31
4856194,SYI,Basis,2024-03-06,2024-04-17
5039897,SYI,Plus,2024-03-06,2024-06-19
6168677,SYI,Basis,2024-03-06,2099-12-31
6289978,SYI,Basis,2024-03-06,2099-12-31
6642321,Pro,Plus,2024-03-06,2024-03-28
6683183,SYI,Basis,2024-03-06,2099-12-31
6701739,Pro,Plus,2024-03-06,2024-07-25
6796190,Pro,Plus,2024-03-06,2024-03-26
6955934,SYI,Basis,2024-03-06,2024-06-24
7029861,SYI,Basis,2024-03-06,2024-06-22
7230680,SYI,Basis,2024-03-06,2099-12-31
7304123,SYI,Basis,2024-03-06,2024-04-11
7344956,SYI,Basis,2024-03-06,2099-12-31
7432831,SYI,Plus,2024-03-06,2099-12-31
7468112,SYI,Basis,2024-03-06,2025-03-23
7513087,SYI,Basis,2024-03-06,2024-09-17
7807159,SYI,Basis,2024-03-06,2024-08-28
8002304,Pro,Plus,2024-03-06,2024-06-08
8044563,SYI,Basis,2024-03-06,2099-12-31
8442663,SYI,Plus,2024-03-06,2024-05-16
8796114,SYI,Plus,2024-03-06,2099-12-31
1162149,SYI,Basis,2024-03-07,2099-12-31
1475141,SYI,Basis,2024-03-07,2024-05-17
1556059,Pro,Basis,2024-03-07,2024-04-10
1635461,SYI,No bundle,2024-03-07,2099-12-31
1676661,SYI,Basis,2024-03-07,2024-04-07
1915841,SYI,Basis,2024-03-07,2099-12-31
1962425,Pro,Basis,2024-03-07,2099-12-31
2226385,Pro,Basis,2024-03-07,2024-05-31
2942635,SYI,Plus,2024-03-07,2099-12-31
2962557,SYI,Plus,2024-03-07,2024-05-22
3064050,SYI,Basis,2024-03-07,2025-01-10
3177316,Pro,Basis,2024-03-07,2024-03-30
3309998,Pro,Plus,2024-03-07,2024-03-30
3361020,SYI,Plus,2024-03-07,2099-12-31
3399405,SYI,Basis,2024-03-07,2024-06-07
3695777,SYI,Basis,2024-03-07,2099-12-31
3807304,SYI,Basis,2024-03-07,2024-06-13
4018448,SYI,Plus,2024-03-07,2099-12-31
4091347,SYI,Basis,2024-03-07,2024-06-24
4235152,SYI,Basis,2024-03-07,2099-12-31
4390788,SYI,Basis,2024-03-07,2024-03-10
4497289,SYI,Basis,2024-03-07,2099-12-31
4560709,SYI,Basis,2024-03-07,2024-06-22
4841143,SYI,Plus,2024-03-07,2024-05-02
5200831,SYI,Plus,2024-03-07,2099-12-31
5552491,SYI,Basis,2024-03-07,2024-04-22
5837572,SYI,Plus,2024-03-07,2099-12-31
5900336,SYI,Plus,2024-03-07,2024-06-09
6388902,Pro,Basis,2024-03-07,2024-10-28
6476606,Pro,Basis,2024-03-07,2024-04-02
6634892,Pro,Plus,2024-03-07,2024-06-17
6836015,SYI,Plus,2024-03-07,2024-03-26
7053062,SYI,Basis,2024-03-07,2024-03-11
7452596,SYI,No bundle,2024-03-07,2099-12-31
7836098,Pro,Plus,2024-03-07,2024-03-11
7890450,SYI,Basis,2024-03-07,2024-06-03
8190854,Pro,Basis,2024-03-07,2099-12-31
8652445,SYI,Basis,2024-03-07,2024-03-11
8779313,SYI,Basis,2024-03-07,2099-12-31
1044441,SYI,Basis,2024-03-08,2024-04-29
1642518,SYI,Basis,2024-03-08,2099-12-31
1835003,SYI,Basis,2024-03-08,2024-04-22
2071526,SYI,Basis,2024-03-08,2024-04-07
2524937,SYI,Basis,2024-03-08,2024-03-18
2944557,SYI,Plus,2024-03-08,2024-05-30
3123634,SYI,Basis,2024-03-08,2024-07-17
3373582,SYI,Plus,2024-03-08,2024-05-13
3647664,SYI,Basis,2024-03-08,2099-12-31
4285734,SYI,Basis,2024-03-08,2024-03-23
5033171,Pro,Plus,2024-03-08,2024-03-22
5216643,SYI,Basis,2024-03-08,2099-12-31
6124723,Pro,Basis,2024-03-08,2024-05-08
6822475,SYI,No bundle,2024-03-08,2024-04-26
7383633,SYI,Basis,2024-03-08,2024-05-28
8381242,SYI,Plus,2024-03-08,2024-04-11
8900541,SYI,Basis,2024-03-08,2024-11-17
1731104,SYI,Basis,2024-03-09,2024-07-23
2204419,SYI,No bundle,2024-03-09,2024-05-02
2262431,SYI,Basis,2024-03-09,2024-04-13
2593374,SYI,Basis,2024-03-09,2024-05-09
2750233,SYI,Basis,2024-03-09,2024-04-13
3241175,SYI,Basis,2024-03-09,2024-04-28
3359480,SYI,Basis,2024-03-09,2024-08-10
3439571,SYI,Plus,2024-03-09,2024-04-24
3480615,SYI,Basis,2024-03-09,2099-12-31
3659591,SYI,Basis,2024-03-09,2024-04-14
4058202,Pro,Basis,2024-03-09,2024-09-07
4145041,Pro,Basis,2024-03-09,2024-04-08
4368794,Pro,Basis,2024-03-09,2024-04-29
4450682,Pro,Basis,2024-03-09,2099-12-31
4876309,SYI,Basis,2024-03-09,2024-05-12
4922447,SYI,Basis,2024-03-09,2024-04-13
5476853,Pro,Plus,2024-03-09,2025-03-26
5748417,SYI,Basis,2024-03-09,2024-03-11
5838639,SYI,Basis,2024-03-09,2024-03-29
6201330,SYI,Basis,2024-03-09,2024-03-11
6776093,SYI,Plus,2024-03-09,2024-06-23
7285088,SYI,Basis,2024-03-09,2024-03-23
7435643,Pro,Basis,2024-03-09,2099-12-31
7483539,SYI,Plus,2024-03-09,2024-05-15
7516311,Pro,Basis,2024-03-09,2024-04-25
7522070,SYI,Basis,2024-03-09,2024-10-03
8018033,SYI,Plus,2024-03-09,2099-12-31
8362424,SYI,Basis,2024-03-09,2024-04-06
8997624,SYI,Plus,2024-03-09,2024-07-27
1439537,SYI,Basis,2024-03-10,2024-03-16
1466031,SYI,Basis,2024-03-10,2024-04-23
1607187,SYI,Basis,2024-03-10,2024-04-24
2254334,Pro,Plus,2024-03-10,2099-12-31
2698637,SYI,Basis,2024-03-10,2099-12-31
3508988,SYI,Basis,2024-03-10,2099-12-31
3558898,Pro,Plus,2024-03-10,2099-12-31
3614315,Pro,Plus,2024-03-10,2024-07-06
3624724,SYI,Basis,2024-03-10,2024-04-14
3875612,SYI,No bundle,2024-03-10,2099-12-31
3952746,SYI,Basis,2024-03-10,2099-12-31
3979088,SYI,Plus,2024-03-10,2099-12-31
4273411,SYI,Plus,2024-03-10,2024-03-19
4390788,SYI,No bundle,2024-03-10,2024-10-25
4709237,Pro,Plus,2024-03-10,2099-12-31
4836720,Pro,Plus,2024-03-10,2024-05-18
5209356,SYI,Basis,2024-03-10,2024-04-07
5231588,SYI,Basis,2024-03-10,2024-04-12
5413467,SYI,Plus,2024-03-10,2024-05-13
5610021,SYI,Plus,2024-03-10,2024-08-20
6076359,Pro,Basis,2024-03-10,2099-12-31
6164655,Pro,Plus,2024-03-10,2024-03-12
6239918,SYI,Plus,2024-03-10,2024-04-13
6299549,SYI,Basis,2024-03-10,2024-03-14
6472812,SYI,Basis,2024-03-10,2024-05-24
7046790,SYI,Plus,2024-03-10,2099-12-31
7374827,SYI,Plus,2024-03-10,2024-05-29
7637022,SYI,Basis,2024-03-10,2024-04-05
7751839,SYI,Plus,2024-03-10,2099-12-31
7801366,Pro,Plus,2024-03-10,2099-12-31
7811997,SYI,Basis,2024-03-10,2024-04-16
7932187,SYI,Plus,2024-03-10,2024-06-20
8239865,Pro,Basis,2024-03-10,2024-06-29
8780363,Pro,Basis,2024-03-10,2024-09-17
2049444,SYI,Basis,2024-03-11,2024-03-20
2147781,SYI,Basis,2024-03-11,2024-04-03
2393590,SYI,Plus,2024-03-11,2099-12-31
3069710,SYI,Basis,2024-03-11,2024-04-16
3103862,SYI,Basis,2024-03-11,2099-12-31
3502771,SYI,Basis,2024-03-11,2024-06-07
3579991,SYI,Basis,2024-03-11,2024-03-12
4133057,SYI,Basis,2024-03-11,2024-09-02
4671596,Pro,Basis,2024-03-11,2024-09-30
5083158,SYI,Basis,2024-03-11,2024-05-27
5206657,Pro,Plus,2024-03-11,2024-04-23
5245005,SYI,Basis,2024-03-11,2024-04-14
5542974,SYI,Plus,2024-03-11,2099-12-31
5655211,SYI,Plus,2024-03-11,2024-04-21
5748417,SYI,No bundle,2024-03-11,2099-12-31
5749818,SYI,Basis,2024-03-11,2024-04-08
5858813,SYI,Basis,2024-03-11,2024-05-10
5898677,SYI,Plus,2024-03-11,2024-04-18
5902388,SYI,Plus,2024-03-11,2024-05-23
5947260,Pro,Basis,2024-03-11,2024-04-02
5985688,SYI,Basis,2024-03-11,2099-12-31
6034242,SYI,Basis,2024-03-11,2024-03-16
6090765,SYI,Basis,2024-03-11,2024-04-11
6201330,SYI,No bundle,2024-03-11,2024-08-27
6379942,SYI,Basis,2024-03-11,2024-05-09
6456795,SYI,Basis,2024-03-11,2024-04-28
7053062,SYI,No bundle,2024-03-11,2099-12-31
7072963,SYI,Basis,2024-03-11,2024-05-10
7441409,Pro,Plus,2024-03-11,2099-12-31
7464162,SYI,Basis,2024-03-11,2024-08-27
7572920,Pro,Plus,2024-03-11,2099-12-31
7604263,SYI,Basis,2024-03-11,2099-12-31
7836098,Pro,No bundle,2024-03-11,2024-06-13
7884477,Pro,Basis,2024-03-11,2099-12-31
7929252,SYI,Plus,2024-03-11,2024-04-20
8256346,SYI,Plus,2024-03-11,2025-03-28
8652445,SYI,No bundle,2024-03-11,2024-05-29
1190015,Pro,Plus,2024-03-12,2024-04-15
1205843,Pro,Plus,2024-03-12,2024-07-03
1529665,SYI,Plus,2024-03-12,2099-12-31
1652428,SYI,Basis,2024-03-12,2025-01-12
2061076,Pro,Basis,2024-03-12,2024-04-20
2395780,SYI,Basis,2024-03-12,2099-12-31
2475582,SYI,Basis,2024-03-12,2024-04-21
2491343,SYI,Basis,2024-03-12,2024-03-13
2605674,Pro,Basis,2024-03-12,2024-04-28
2710549,SYI,Basis,2024-03-12,2099-12-31
2766619,SYI,Plus,2024-03-12,2099-12-31
3307520,SYI,Basis,2024-03-12,2099-12-31
3341692,SYI,Basis,2024-03-12,2099-12-31
3508721,SYI,Basis,2024-03-12,2024-03-22
3579991,SYI,No bundle,2024-03-12,2099-12-31
3590761,SYI,Plus,2024-03-12,2024-08-04
3657591,SYI,No bundle,2024-03-12,2024-06-03
3802801,SYI,Plus,2024-03-12,2024-05-23
4559399,Pro,Basis,2024-03-12,2099-12-31
6013463,SYI,Basis,2024-03-12,2099-12-31
6164655,Pro,No bundle,2024-03-12,2024-05-15
6303200,SYI,Basis,2024-03-12,2024-04-10
6363672,SYI,Basis,2024-03-12,2024-09-25
6518825,SYI,Basis,2024-03-12,2099-12-31
7120270,SYI,Basis,2024-03-12,2099-12-31
7389671,SYI,Basis,2024-03-12,2024-04-12
7603031,SYI,Basis,2024-03-12,2024-11-16
8329025,SYI,Plus,2024-03-12,2024-06-23
8538842,Pro,Basis,2024-03-12,2024-05-23
1112647,Pro,Plus,2024-03-13,2024-06-10
1129665,Pro,Basis,2024-03-13,2099-12-31
1346585,Pro,Basis,2024-03-13,2024-07-26
1691972,Pro,Plus,2024-03-13,2024-07-18
1876350,SYI,Basis,2024-03-13,2024-06-13
2387688,SYI,Basis,2024-03-13,2024-03-25
2491343,SYI,No bundle,2024-03-13,2099-12-31
2594558,SYI,Basis,2024-03-13,2099-12-31
2718315,Pro,Plus,2024-03-13,2024-09-12
2851502,SYI,Basis,2024-03-13,2099-12-31
3454890,Pro,Basis,2024-03-13,2024-04-26
3857386,SYI,Basis,2024-03-13,2099-12-31
4025136,SYI,Basis,2024-03-13,2099-12-31
4585800,Pro,Plus,2024-03-13,2099-12-31
4626811,SYI,Plus,2024-03-13,2024-03-25
4789042,SYI,Basis,2024-03-13,2024-06-04
4823837,SYI,Plus,2024-03-13,2099-12-31
4930196,SYI,Basis,2024-03-13,2099-12-31
5045575,SYI,Plus,2024-03-13,2025-02-06
5252636,SYI,Plus,2024-03-13,2099-12-31
5337483,SYI,Basis,2024-03-13,2024-04-27
5616796,Pro,Basis,2024-03-13,2024-06-15
5886995,Pro,Basis,2024-03-13,2024-06-19
5940911,SYI,Basis,2024-03-13,2024-04-12
6550776,Pro,Basis,2024-03-13,2099-12-31
6636517,SYI,No bundle,2024-03-13,2099-12-31
6859519,SYI,Basis,2024-03-13,2099-12-31
6880393,SYI,Basis,2024-03-13,2024-04-17
6952518,SYI,Plus,2024-03-13,2025-01-27
7345330,SYI,Basis,2024-03-13,2099-12-31
8094567,SYI,Plus,2024-03-13,2099-12-31
8154071,SYI,No bundle,2024-03-13,2024-05-26
8399286,SYI,Basis,2024-03-13,2024-04-19
8905699,SYI,Basis,2024-03-13,2099-12-31
8958038,SYI,Basis,2024-03-13,2099-12-31
1459372,SYI,Basis,2024-03-14,2024-12-03
1834467,Pro,Plus,2024-03-14,2099-12-31
2073404,Pro,Basis,2024-03-14,2099-12-31
2109952,Pro,Basis,2024-03-14,2099-12-31
2141331,SYI,Basis,2024-03-14,2099-12-31
2479588,SYI,Plus,2024-03-14,2024-06-25
3006787,Pro,Plus,2024-03-14,2024-04-26
3146937,Pro,Basis,2024-03-14,2099-12-31
3245664,SYI,Basis,2024-03-14,2024-05-11
3305126,SYI,Basis,2024-03-14,2024-10-12
3434840,SYI,Plus,2024-03-14,2024-07-18
3520736,SYI,Plus,2024-03-14,2024-12-10
3713549,SYI,Basis,2024-03-14,2024-04-12
3966867,SYI,Basis,2024-03-14,2024-07-16
4359560,SYI,Basis,2024-03-14,2024-03-31
4431903,SYI,Basis,2024-03-14,2024-11-11
4690408,SYI,Plus,2024-03-14,2024-04-29
4991416,SYI,Basis,2024-03-14,2024-06-17
5272065,SYI,Basis,2024-03-14,2099-12-31
5459985,SYI,Basis,2024-03-14,2024-03-23
5572389,SYI,Plus,2024-03-14,2024-04-12
5765275,Pro,Plus,2024-03-14,2024-03-28
6082179,SYI,Basis,2024-03-14,2099-12-31
6288727,SYI,Basis,2024-03-14,2024-05-12
6299549,SYI,No bundle,2024-03-14,2024-03-19
7049081,Pro,Basis,2024-03-14,2024-09-22
7204518,SYI,Plus,2024-03-14,2024-07-23
7243051,Pro,Basis,2024-03-14,2025-03-19
7810556,SYI,Plus,2024-03-14,2025-03-31
8234938,SYI,Basis,2024-03-14,2024-06-26
1034856,Pro,Plus,2024-03-15,2099-12-31
1136830,SYI,Basis,2024-03-15,2024-05-09
1484837,SYI,Basis,2024-03-15,2024-07-26
1549801,Pro,Plus,2024-03-15,2099-12-31
1690461,Pro,Plus,2024-03-15,2024-05-27
1777497,SYI,Plus,2024-03-15,2024-05-02
2819158,Pro,Plus,2024-03-15,2024-05-12
3005194,SYI,Basis,2024-03-15,2099-12-31
3580054,SYI,Basis,2024-03-15,2099-12-31
3681088,SYI,Basis,2024-03-15,2024-05-16
4007686,SYI,Plus,2024-03-15,2024-03-17
4234796,SYI,No bundle,2024-03-15,2024-04-01
4286001,SYI,Basis,2024-03-15,2099-12-31
5267777,SYI,Basis,2024-03-15,2099-12-31
5479407,SYI,Basis,2024-03-15,2024-05-03
5765815,SYI,Plus,2024-03-15,2024-04-06
6550808,SYI,Plus,2024-03-15,2024-04-06
7071331,SYI,Basis,2024-03-15,2099-12-31
7235864,SYI,Plus,2024-03-15,2024-03-21
7738387,SYI,Plus,2024-03-15,2024-09-23
7885975,Pro,Basis,2024-03-15,2099-12-31
8170272,SYI,Basis,2024-03-15,2024-07-01
8343189,Pro,Basis,2024-03-15,2024-05-05
8672075,SYI,Basis,2024-03-15,2024-07-10
8718031,SYI,Basis,2024-03-15,2024-04-14
1290967,SYI,Basis,2024-03-16,2099-12-31
1439537,SYI,No bundle,2024-03-16,2099-12-31
1551242,SYI,Basis,2024-03-16,2099-12-31
1815224,Pro,Plus,2024-03-16,2024-04-03
2204526,SYI,Basis,2024-03-16,2024-06-02
2529157,Pro,Plus,2024-03-16,2024-03-20
2697649,SYI,Plus,2024-03-16,2099-12-31
3248786,SYI,Basis,2024-03-16,2099-12-31
3331551,SYI,Basis,2024-03-16,2099-12-31
3487744,SYI,Basis,2024-03-16,2024-05-16
3907648,SYI,Basis,2024-03-16,2024-04-18
4090237,SYI,Basis,2024-03-16,2024-04-20
4125109,SYI,Basis,2024-03-16,2099-12-31
4724730,SYI,Basis,2024-03-16,2099-12-31
5395062,SYI,Basis,2024-03-16,2024-05-18
5713632,SYI,Basis,2024-03-16,2099-12-31
6034242,SYI,No bundle,2024-03-16,2024-06-28
6331480,SYI,Plus,2024-03-16,2024-04-13
7244988,Pro,Basis,2024-03-16,2024-08-17
7522688,SYI,Basis,2024-03-16,2024-09-13
7539685,Pro,Basis,2024-03-16,2024-04-16
8158445,SYI,Basis,2024-03-16,2099-12-31
8212655,SYI,Basis,2024-03-16,2024-05-11
8450291,Pro,Plus,2024-03-16,2024-07-25
8467625,SYI,Basis,2024-03-16,2024-05-11
1064920,SYI,Basis,2024-03-17,2099-12-31
1646012,SYI,Plus,2024-03-17,2099-12-31
1934956,Pro,Plus,2024-03-17,2099-12-31
2746968,SYI,Basis,2024-03-17,2099-12-31
2898382,SYI,Plus,2024-03-17,2099-12-31
2954297,SYI,Basis,2024-03-17,2024-04-16
3317606,SYI,Basis,2024-03-17,2024-03-24
4007686,SYI,Basis,2024-03-17,2024-07-28
4721662,Pro,Plus,2024-03-17,2024-07-14
5419708,SYI,Basis,2024-03-17,2024-09-13
5783421,SYI,No bundle,2024-03-17,2099-12-31
5956389,Pro,Plus,2024-03-17,2024-04-30
6048979,SYI,Plus,2024-03-17,2099-12-31
6518004,SYI,Plus,2024-03-17,2099-12-31
6605848,SYI,Plus,2024-03-17,2024-07-24
6609619,SYI,Plus,2024-03-17,2024-03-19
7695593,Pro,Plus,2024-03-17,2024-05-08
7917384,SYI,Basis,2024-03-17,2024-05-09
8086768,SYI,Basis,2024-03-17,2024-04-26
8307138,SYI,Basis,2024-03-17,2024-05-09
8308067,Pro,Basis,2024-03-17,2024-12-26
8973894,SYI,Basis,2024-03-17,2024-04-22
1535796,Pro,Basis,2024-03-18,2024-04-08
1685920,Pro,Basis,2024-03-18,2024-09-19
2187746,Pro,Basis,2024-03-18,2099-12-31
2524937,SYI,No bundle,2024-03-18,2099-12-31
2670365,SYI,Basis,2024-03-18,2024-04-30
2789489,SYI,Plus,2024-03-18,2024-05-17
3197922,SYI,Basis,2024-03-18,2025-04-04
3560324,Pro,Plus,2024-03-18,2099-12-31
3719373,SYI,No bundle,2024-03-18,2099-12-31
