seller_id,outreach_readiness_score,bundle_fit_score,recent_paid_usage_percentile,consistency_percentile,category_breadth_percentile,recent_growth_percentile,total_fees_percentile,paid_visibility_percentile,paid_product_breadth_percentile,listing_volume_percentile,is_outreach_ready_group,is_targeted_for_plus_group
64501545,80.89,84.92,83.16,90.21,98.52,72.17,54.92,74.57,86.38,93.8,True,True
54191142,80.81,52.58,85.56,90.21,95.96,63.83,98.67,29.64,50.62,77.47,True,False
10481449,80.77,84.74,89.05,90.21,87.99,69.38,77.42,89.97,70.59,93.65,True,True
76458101,80.75,85.98,87.32,78.22,53.23,71.64,95.0,95.55,99.09,63.31,True,True
47499009,80.75,86.18,82.68,63.23,73.97,85.74,92.47,93.01,86.38,79.14,True,True
64924655,80.74,83.03,81.95,72.19,80.82,61.95,92.14,93.76,95.39,59.95,True,True
18857086,80.73,86.02,92.25,90.21,45.44,62.66,98.44,87.99,95.39,74.67,True,True
33128782,80.7,69.46,73.7,74.74,77.62,78.59,93.18,60.46,86.38,61.55,True,False
48719564,80.61,85.64,90.43,90.21,85.87,66.98,79.61,95.17,70.59,91.17,True,True
72455833,80.58,96.0,99.3,90.21,64.66,63.1,70.83,94.6,95.39,98.02,True,True
86305033,80.56,88.39,94.19,69.71,59.3,79.95,93.8,97.33,86.38,81.45,True,True
68046898,80.53,79.52,96.98,90.21,97.88,59.06,43.66,50.29,95.39,92.89,True,False
33881470,80.51,84.21,88.14,63.23,77.62,68.88,89.82,84.41,95.39,72.83,True,True
19200557,80.48,89.34,88.61,90.21,89.99,27.67,90.99,96.63,95.39,76.0,True,True
47202263,80.36,88.93,98.23,90.21,83.54,65.65,58.18,84.82,86.38,95.6,True,True
69562518,80.28,88.63,99.32,72.19,94.74,68.83,76.02,98.2,70.59,97.11,True,True
89171689,80.26,74.76,93.88,78.22,98.52,70.36,70.0,60.46,70.59,93.23,True,False
11635775,80.25,81.44,87.32,90.21,77.62,69.0,86.74,94.0,70.59,79.73,True,True
21198565,80.24,91.98,91.11,67.49,89.99,63.88,73.58,88.58,95.39,91.98,True,True
76895796,80.23,99.08,98.41,90.21,69.7,26.12,97.84,99.22,99.09,98.93,True,True
12532554,80.18,58.82,85.01,69.71,91.81,94.21,89.69,54.24,50.62,71.6,True,False
87416969,80.14,64.2,80.01,90.21,69.7,88.18,82.14,81.99,70.59,40.03,True,False
72543839,80.11,81.79,80.78,90.21,93.4,72.36,57.53,66.07,86.38,92.92,True,True
27222605,80.09,84.31,86.48,90.21,69.7,68.59,79.17,80.47,86.38,86.08,True,True
96273190,80.07,85.69,81.39,90.21,94.74,63.66,64.04,79.96,86.38,90.73,True,True
89491712,80.05,89.73,89.48,90.21,45.44,59.11,96.98,96.24,99.09,73.87,True,True
13450280,79.98,95.56,99.82,90.21,36.42,65.81,92.24,91.88,95.39,99.4,True,True
64090009,79.97,93.96,99.58,90.21,95.96,25.36,82.32,96.63,86.38,98.88,True,True
14857753,79.91,82.25,90.31,69.71,87.99,80.81,64.24,73.12,86.38,87.25,True,True
36031298,79.87,79.14,72.37,65.44,91.81,66.45,87.79,75.62,95.39,66.41,True,False
68163791,79.87,88.82,93.98,52.55,45.44,95.83,96.02,95.36,95.39,75.72,True,True
78429692,79.85,81.34,98.96,90.21,69.7,63.7,85.94,76.5,70.59,96.93,True,True
51039414,79.82,88.11,93.79,57.84,69.7,68.28,93.93,96.12,95.39,72.83,True,True
38524211,79.8,95.69,98.28,90.21,64.66,34.87,95.42,99.19,95.39,92.49,True,True
21088409,79.74,93.45,95.35,90.21,95.96,12.84,97.68,99.77,86.38,94.22,True,True
28261424,79.73,90.08,80.38,90.21,83.54,28.39,96.8,94.47,99.09,76.68,True,True
53388027,79.73,71.88,82.68,78.22,85.87,90.46,70.57,50.29,70.59,94.77,True,False
95758594,79.69,77.94,66.05,90.21,89.99,60.29,85.21,85.14,86.38,62.29,True,False
77003440,79.67,81.43,61.47,52.55,89.99,84.95,89.97,84.82,99.09,60.38,True,True
32776394,79.65,94.6,99.74,90.21,73.97,66.12,52.47,89.62,95.39,98.78,True,True
69439589,79.65,95.75,96.18,90.21,85.87,20.13,90.1,97.01,95.39,94.84,True,True
43053025,79.65,91.05,98.7,78.22,97.88,62.17,45.52,80.95,95.39,96.82,True,True
40289207,79.6,66.06,93.05,90.21,73.97,80.62,89.11,60.46,50.62,87.1,True,False
74489999,79.59,71.29,89.66,90.21,36.42,64.04,98.1,98.82,99.09,15.98,True,False
63276662,79.56,73.38,83.35,90.21,73.97,61.43,97.81,78.14,70.59,71.41,True,False
99539234,79.52,88.72,89.19,90.21,53.23,64.06,94.04,81.48,86.38,98.28,True,True
48692970,79.46,93.18,97.11,90.21,59.3,34.92,99.82,99.48,95.39,84.67,True,True
42212610,79.44,62.93,92.73,90.21,99.66,94.69,48.7,39.19,50.62,98.98,True,False
52478746,79.43,78.18,79.21,74.74,73.97,64.66,97.6,87.3,86.38,60.86,True,False
79668086,79.42,93.65,96.05,90.21,45.44,64.79,93.62,98.93,86.38,95.62,True,True
13261793,79.34,84.73,78.18,72.19,64.66,78.67,86.98,92.38,95.39,66.41,True,True
76864490,79.33,87.16,96.34,72.19,89.99,70.94,60.16,82.28,86.38,92.83,True,True
42290591,79.29,78.15,72.99,74.74,69.7,67.73,91.51,71.65,99.09,63.71,True,False
95322644,79.21,81.33,76.42,60.59,87.99,96.5,67.37,79.96,86.38,77.66,True,True
48605476,79.19,82.93,70.05,69.71,99.66,78.31,71.04,73.12,86.38,89.3,True,True
92918990,79.17,69.32,75.98,90.21,73.97,71.71,92.58,80.47,70.59,56.9,True,False
81042067,79.14,98.76,74.3,90.21,99.97,15.68,95.6,97.42,99.09,99.77,True,True
62914342,79.11,93.72,99.43,90.21,25.83,64.17,99.66,99.79,95.39,85.99,True,True
62147246,79.08,77.07,86.78,60.59,89.99,92.11,74.45,92.34,70.59,68.28,True,False
62324827,79.06,91.1,83.35,90.21,97.88,31.3,85.26,97.37,86.38,89.54,True,True
26876224,79.01,90.73,82.68,90.21,98.52,32.85,83.44,95.3,86.38,90.51,True,True
47830130,78.92,93.22,99.66,90.21,69.7,62.73,64.84,94.26,86.38,99.01,True,True
15295870,78.88,75.65,71.67,90.21,77.62,59.57,87.84,79.31,86.38,61.26,True,False
73837069,78.86,89.52,97.03,90.21,53.23,67.14,94.95,99.45,70.59,98.52,True,True
87647763,78.85,73.17,74.3,78.22,53.23,81.52,90.47,84.09,95.39,40.03,True,False
30080000,78.82,85.75,59.41,74.74,93.4,83.07,66.9,71.65,95.39,90.2,True,True
45878331,78.82,88.54,75.98,74.74,73.97,75.22,77.6,85.14,95.39,85.08,True,True
93080114,78.8,79.35,89.82,90.21,59.3,59.95,87.16,83.39,86.38,68.28,True,False
67316947,78.75,78.21,86.05,90.21,98.52,62.79,64.38,76.5,70.59,87.55,True,False
15529857,78.75,91.9,93.19,90.21,69.7,27.89,96.12,97.53,95.39,82.79,True,True
76804951,78.73,88.11,89.96,90.21,36.42,60.94,99.48,97.33,95.39,71.6,True,True
25775956,78.61,81.36,96.73,67.49,53.23,79.38,88.46,64.52,86.38,93.19,True,True
86861248,78.61,89.28,93.41,72.19,53.23,78.05,88.39,95.59,86.38,85.86,True,True
87805332,78.57,84.44,92.97,60.59,91.81,62.6,92.89,98.26,70.59,84.47,True,True
74111106,78.54,89.1,97.45,60.59,53.23,70.55,94.01,97.84,95.39,74.06,True,True
24731106,78.49,80.48,80.38,52.55,80.82,79.48,78.65,89.87,99.09,52.49,True,False
90205155,78.49,73.94,75.39,90.21,99.0,60.38,59.61,50.29,86.38,85.16,True,False
40580651,78.49,84.97,69.22,90.21,91.81,28.87,95.44,89.97,95.39,69.56,True,True
89672981,78.48,57.29,77.37,90.21,59.3,78.02,95.39,71.65,70.59,29.64,True,False
95553143,78.44,93.55,79.21,90.21,95.96,20.1,89.79,96.37,95.39,88.91,True,True
65950787,78.42,98.46,100.0,74.74,36.42,63.96,100.0,100.0,95.39,100.0,True,True
84921060,78.39,75.1,88.14,44.05,95.96,97.08,49.71,57.55,95.39,72.37,True,False
46032157,78.35,91.84,95.4,90.21,69.7,34.17,94.24,99.04,86.38,90.1,True,True
98915606,78.34,82.54,96.58,90.21,100.0,23.1,73.78,64.52,86.38,96.72,True,True
17228584,78.33,77.56,98.88,90.21,77.62,64.38,68.33,62.71,70.59,99.38,True,False
36465400,78.33,92.67,99.92,90.21,64.66,60.13,59.66,82.98,95.39,99.64,True,True
54289059,78.32,80.21,89.82,90.21,25.83,78.52,99.17,89.87,86.38,64.39,True,False
22543617,78.32,78.5,89.26,78.22,95.96,79.01,56.88,78.68,70.59,86.24,True,False
58246265,78.31,89.57,82.16,90.21,93.4,20.78,96.95,96.88,86.38,85.44,True,True
29052602,78.26,74.08,78.18,69.71,77.62,97.12,60.57,62.71,86.38,73.16,True,False
82456087,78.24,74.25,96.73,90.21,98.52,62.08,90.21,98.18,31.72,92.86,True,False
11284358,78.23,89.65,87.58,90.21,69.7,29.87,96.61,93.83,95.39,79.73,True,True
15979707,78.22,75.84,87.96,90.21,45.44,63.12,96.2,95.26,86.38,45.89,True,False
24537928,78.16,88.28,86.78,90.21,94.74,18.29,92.53,94.35,86.38,84.1,True,True
70410915,78.13,80.44,57.03,60.59,91.81,86.94,77.03,79.31,95.39,66.61,True,False
97875432,78.1,87.1,80.78,90.21,83.54,23.72,94.97,93.92,95.39,71.98,True,True
29650453,78.09,81.39,91.71,90.21,69.7,34.77,95.81,98.63,86.38,59.17,True,True
59389294,78.06,80.52,92.42,60.59,77.62,85.96,65.36,92.88,86.38,62.29,True,False
45164291,78.03,77.8,82.68,67.49,83.54,68.36,79.74,86.15,86.38,60.86,True,False
66470348,78.01,73.52,85.76,90.21,45.44,61.64,98.62,91.24,86.38,42.93,True,False
29969310,78.0,73.85,95.81,40.82,93.4,92.99,94.35,98.1,50.62,72.83,True,False
94256641,77.93,86.02,97.53,90.21,53.23,58.65,72.58,66.07,95.39,96.59,True,True
64281215,77.91,90.04,87.77,90.21,83.54,35.53,75.03,77.36,95.39,97.37,True,True
12297250,77.86,87.36,96.77,90.21,95.96,26.59,71.25,78.14,86.38,97.55,True,True
72206032,77.86,64.95,80.78,69.71,91.81,87.86,66.38,62.71,70.59,61.55,True,False
97497614,77.84,87.09,85.56,78.22,87.99,29.35,90.55,93.68,95.39,72.19,True,True
30081959,77.8,87.49,93.41,78.22,73.97,25.83,96.25,96.51,99.09,66.88,True,True
83603196,77.72,82.11,63.35,69.71,59.3,85.74,92.81,81.99,95.39,68.93,True,True
77594156,77.71,92.22,98.46,90.21,25.83,67.19,98.2,97.66,86.38,92.63,True,True
13867772,77.69,84.64,96.45,90.21,59.3,69.77,79.84,90.96,70.59,92.38,True,True
84930018,77.6,79.33,78.18,78.22,89.99,70.59,78.05,92.28,70.59,75.13,True,False
54516679,77.58,81.28,82.68,78.22,69.7,65.87,82.6,83.76,86.38,73.71,True,True
15171742,77.57,89.84,88.95,72.19,91.81,20.39,92.97,97.86,99.09,72.58,True,True
38307972,77.53,82.61,93.32,90.21,45.44,72.11,93.49,94.39,70.59,82.85,True,True
13689935,77.53,76.87,96.69,90.21,59.3,34.4,98.18,96.67,86.38,47.57,True,False
39688728,77.51,89.17,86.98,60.59,73.97,58.7,89.45,93.57,95.39,78.54,True,True
83066638,77.48,83.35,89.66,90.21,89.99,15.44,93.23,69.6,86.38,94.06,True,True
67899052,77.47,76.45,82.68,90.21,93.4,85.1,42.86,73.12,70.59,85.64,True,False
24476362,77.47,88.65,94.64,72.19,45.44,69.62,96.56,94.9,86.38,84.67,True,True
44398689,77.46,75.86,84.34,65.44,80.82,68.57,79.19,69.6,86.38,71.6,True,False
68799014,77.44,76.99,73.7,90.21,69.7,78.59,81.88,80.95,70.59,79.43,True,False
74913057,77.36,89.78,70.86,90.21,59.3,97.55,59.84,83.76,86.38,99.19,True,True
36040753,77.34,94.13,98.67,90.21,97.06,15.83,75.89,96.45,86.38,99.56,True,True
65818302,77.34,77.23,99.79,90.21,45.44,71.93,86.07,62.71,70.59,98.39,True,False
89986533,77.3,64.99,99.48,90.21,64.66,60.91,97.94,45.51,50.62,98.83,True,False
91561408,77.29,90.89,91.46,90.21,93.4,13.02,80.29,82.98,95.39,94.3,True,True
20071505,77.27,94.61,81.95,78.22,91.81,35.57,76.98,92.43,99.09,92.29,True,True
39159781,77.26,86.66,98.49,90.21,87.99,34.14,53.65,64.52,99.09,96.38,True,True
60124579,77.24,58.18,72.37,90.21,36.42,81.45,96.64,60.46,86.38,27.7,True,False
21413503,77.2,79.97,93.12,90.21,36.42,64.35,92.71,96.03,86.38,57.51,True,False
54533248,77.2,72.21,90.43,60.59,93.4,94.96,37.43,54.24,86.38,76.0,True,False
15830637,77.17,74.19,59.41,74.74,87.99,78.84,75.62,45.51,86.38,90.68,True,False
90485524,77.15,76.02,70.86,55.26,85.87,97.55,54.3,76.5,99.09,52.49,True,False
87222151,77.15,66.98,81.69,90.21,83.54,47.15,89.74,78.68,70.59,51.67,True,False
73038446,77.15,81.6,79.66,90.21,73.97,35.46,97.21,88.72,86.38,69.69,True,True
50571988,77.13,74.84,95.68,78.22,25.83,81.64,95.05,50.29,86.38,87.84,True,False
31911965,77.13,78.13,78.18,90.21,83.54,85.14,55.13,84.09,70.59,79.73,True,False
67394674,77.1,88.81,95.51,60.59,91.81,67.01,61.3,82.98,86.38,97.06,True,True
22950330,77.09,57.99,97.24,90.21,99.9,71.15,53.41,29.64,50.62,93.72,True,False
28456170,77.06,95.83,74.3,90.21,83.54,27.6,91.3,95.68,95.39,96.43,True,True
35196591,76.98,67.96,88.49,90.21,59.3,61.67,91.61,66.07,70.59,67.24,True,False
80664530,76.95,76.69,99.87,90.21,97.88,66.15,37.01,60.46,70.59,99.04,True,False
37587202,76.91,89.62,89.66,90.21,59.3,23.44,99.77,98.88,99.09,70.89,True,True
67002301,76.89,79.33,70.05,74.74,93.4,66.32,70.47,81.48,86.38,70.13,True,False
64755790,76.89,84.97,96.28,90.21,53.23,25.16,97.4,98.91,99.09,56.9,True,True
